127.0.0.1 - - [19/Jan/2021:12:51:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:38 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:38 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:49 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:49 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:49 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:49 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:54 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:55 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:55 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:55 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:58 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:58 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:58 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:42:59 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:43:28 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:43:28 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:43:28 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:43:36 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:43:36 +0900] "GET /UI02_CSS/resources/font/Goyang.ttf HTTP/1.1" 200 4556704
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:43:37 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
